Nr;LoadCell;VP0
0;3031;3568
1;3056;3568
2;2989;3568
3;3084;3568
4;3005;3568
5;3058;3568
6;3023;3568
7;3022;3568
8;3011;3568
9;3014;3568
10;3055;3568
11;3000;3568
12;3073;3568
13;3018;3568
14;3069;3568
15;3018;3568
16;3057;3568
17;3020;3568
18;3011;3568
19;3030;3568
20;3005;3568
21;3070;3568
22;2993;3568
23;3056;3568
24;3001;3568
25;3040;3568
26;3025;3568
27;3008;3568
28;3055;3568
29;2994;3568
30;3057;3568
31;2996;3568
32;3049;3568
33;3024;3568
34;3055;3568
35;3022;3568
36;3021;3568
37;3040;3568
38;3005;3568
39;3078;3568
40;3007;3568
41;3060;3568
42;3009;3568
43;3044;3568
44;3031;3568
45;3012;3568
46;3051;3568
47;3012;3568
48;3047;3568
49;2988;3568
50;3069;3568
